,property_type
1823,apartment
1824,apartment
1825,apartment
1826,apartment
1827,apartment
1828,apartment
1829,apartment
1830,apartment
1831,apartment
1832,apartment
1833,apartment
1834,house
1835,apartment
1836,apartment
1837,apartment
1838,apartment
1839,apartment
1840,apartment
1841,apartment
1842,apartment
1843,apartment
1844,apartment
1845,apartment
1846,apartment
1847,apartment
1848,apartment
1849,apartment
1850,house
1851,apartment
1852,apartment
1853,house
1854,apartment
1855,house
1856,house
1857,house
1858,apartment
1859,house
1860,apartment
1861,apartment
1862,apartment
1863,apartment
1864,apartment
1865,apartment
1866,apartment
1867,apartment
1868,apartment
1869,apartment
1870,apartment
1871,apartment
1872,apartment
1873,apartment
1874,apartment
1875,house
1876,apartment
1877,apartment
1878,apartment
1879,house
1880,apartment
1881,house
1882,apartment
1883,apartment
1884,apartment
1885,apartment
1886,apartment
1887,apartment
1888,apartment
1889,apartment
1890,apartment
1891,house
1892,apartment
1893,apartment
1894,apartment
1895,apartment
1896,apartment
1897,apartment
1898,apartment
1899,apartment
1900,apartment
1901,apartment
1902,apartment
1903,apartment
1904,house
1905,apartment
1906,apartment
1907,apartment
1908,apartment
1909,apartment
1910,apartment
1911,house
1912,apartment
1913,apartment
1914,apartment
1915,apartment
1916,apartment
1917,apartment
1918,apartment
1919,apartment
1920,apartment
1921,apartment
1922,apartment
1923,apartment
1924,house
1925,house
1926,house
1927,house
1928,apartment
1929,apartment
1930,house
1931,house
1932,house
1933,apartment
1934,apartment
1935,apartment
1936,apartment
1937,apartment
1938,apartment
1939,apartment
1940,apartment
1941,apartment
1942,apartment
1943,apartment
1944,apartment
1945,apartment
1946,apartment
1947,apartment
1948,apartment
1949,apartment
1950,apartment
1951,apartment
1952,apartment
1953,apartment
1954,apartment
1955,apartment
1956,apartment
1957,apartment
1958,apartment
1959,apartment
1960,apartment
1961,apartment
1962,apartment
1963,apartment
1964,apartment
1965,apartment
1966,apartment
1967,house
1968,apartment
1969,apartment
1970,apartment
1971,apartment
1972,apartment
1973,apartment
1974,apartment
1975,apartment
1976,apartment
1977,apartment
1978,apartment
1979,apartment
1980,apartment
1981,apartment
1982,apartment
1983,apartment
1984,apartment
1985,apartment
1986,apartment
1987,apartment
1988,house
1989,apartment
1990,apartment
1991,apartment
1992,apartment
1993,apartment
1994,apartment
1995,apartment
1996,apartment
1997,apartment
1998,apartment
1999,apartment
2000,apartment
2001,apartment
2002,apartment
2003,apartment
2004,apartment
2005,apartment
2006,apartment
2007,apartment
2008,apartment
2009,apartment
2010,apartment
2011,apartment
2012,apartment
2013,apartment
2014,apartment
2015,apartment
2016,apartment
2017,apartment
2018,apartment
2019,apartment
2020,apartment
2021,apartment
2022,house
2023,apartment
2024,apartment
2025,apartment
2026,apartment
2027,apartment
2028,apartment
2029,apartment
2030,apartment
2031,apartment
2032,apartment
2033,apartment
2034,apartment
2035,apartment
2036,apartment
2037,apartment
2038,apartment
2039,apartment
2040,apartment
2041,apartment
2042,apartment
2043,house
2044,apartment
2045,apartment
2046,apartment
2047,apartment
2048,house
2049,house
2050,apartment
2051,apartment
2052,apartment
2053,apartment
2054,apartment
2055,apartment
2056,apartment
2057,apartment
2058,apartment
2059,apartment
2060,apartment
2061,apartment
2062,apartment
2063,apartment
2064,apartment
2065,apartment
2066,apartment
2067,apartment
2068,apartment
2069,apartment
2070,apartment
2071,apartment
2072,apartment
2073,apartment
2074,apartment
2075,apartment
2076,apartment
2077,apartment
2078,apartment
2079,apartment
2080,apartment
2081,apartment
2082,apartment
2083,apartment
2084,apartment
2085,apartment
2086,apartment
2087,apartment
2088,apartment
2089,apartment
2090,apartment
2091,apartment
2092,apartment
2093,apartment
2094,apartment
2095,apartment
2096,apartment
2097,apartment
2098,apartment
2099,apartment
2100,house
2101,apartment
2102,apartment
2103,apartment
2104,apartment
2105,apartment
2106,apartment
2107,apartment
2108,apartment
2109,house
2110,apartment
2111,apartment
2112,apartment
2113,apartment
2114,apartment
2115,apartment
2116,apartment
2117,apartment
2118,apartment
2119,house
2120,apartment
2121,apartment
2122,house
2123,apartment
2124,apartment
2125,apartment
2126,apartment
2127,apartment
2128,apartment
2129,apartment
2130,apartment
2131,apartment
2132,house
2133,apartment
2134,apartment
2135,apartment
2136,house
2137,apartment
2138,apartment
2139,apartment
2140,apartment
2141,house
2142,apartment
2143,apartment
2144,apartment
2145,apartment
2146,apartment
2147,apartment
2148,apartment
2149,apartment
2150,apartment
2151,apartment
2152,apartment
2153,apartment
2154,apartment
2155,apartment
2156,apartment
2157,apartment
2158,apartment
2159,apartment
2160,apartment
2161,apartment
2162,apartment
2163,apartment
2164,apartment
2165,apartment
2166,house
2167,apartment
2168,apartment
2169,apartment
2170,apartment
2171,apartment
2172,apartment
2173,apartment
2174,apartment
2175,apartment
2176,apartment
2177,apartment
2178,apartment
2179,house
2180,apartment
2181,apartment
2182,apartment
2183,apartment
2184,apartment
2185,apartment
2186,apartment
2187,apartment
2188,apartment
2189,apartment
2190,apartment
2191,apartment
2192,apartment
2193,apartment
2194,apartment
2195,apartment
2196,apartment
2197,apartment
2198,apartment
2199,apartment
2200,apartment
2201,apartment
2202,apartment
2203,apartment
2204,apartment
2205,apartment
2206,apartment
2207,apartment
2208,apartment
2209,apartment
