,place_with_parent_names
413,|Brasil|Bahia|Salvador|Imbuí|
414,|Brasil|Bahia|Salvador|
415,|Brasil|Bahia|Salvador|
416,|Brasil|Bahia|Salvador|
417,|Brasil|Bahia|Salvador|Pituba|
418,|Brasil|Bahia|Salvador|Pituba|
419,|Brasil|Bahia|Ilhéus|
420,|Brasil|Bahia|Ilhéus|
421,|Brasil|Bahia|Salvador|Barra|
422,|Brasil|Bahia|Salvador|Costa Azul|
423,|Brasil|Bahia|Salvador|Paralela|
424,|Brasil|Bahia|Ilhéus|
425,|Brasil|Bahia|Ilhéus|
426,|Brasil|Bahia|Salvador|Paralela|
427,|Brasil|Bahia|Ilhéus|
428,|Brasil|Bahia|Ilhéus|
429,|Brasil|Bahia|Ilhéus|
430,|Brasil|Bahia|Ilhéus|
431,|Brasil|Bahia|Salvador|Itapuã|
432,|Brasil|Bahia|Salvador|Itapuã|
433,|Brasil|Bahia|Salvador|Rio Vermelho|
434,|Brasil|Bahia|Salvador|Rio Vermelho|
435,|Brasil|Bahia|Salvador|Garcia|
436,|Brasil|Bahia|Salvador|Pituba|
437,|Brasil|Bahia|Salvador|Paralela|
438,|Brasil|Bahia|Ilhéus|
439,|Brasil|Bahia|Salvador|Pituba|
440,|Brasil|Bahia|Salvador|Armação|
441,|Brasil|Bahia|Lauro de Freitas|Miragem|
442,|Brasil|Bahia|Salvador|Patamares|
443,|Brasil|Bahia|Salvador|Patamares|
444,|Brasil|Bahia|Salvador|Pituba|
445,|Brasil|Bahia|Salvador|Nazaré|
446,|Brasil|Bahia|Salvador|Canela|
447,|Brasil|Bahia|Salvador|
448,|Brasil|Bahia|Salvador|Pituba|
449,|Brasil|Bahia|Salvador|Graça|
450,|Brasil|Bahia|Salvador|Pituba|
451,|Brasil|Bahia|Salvador|Paralela|
452,|Brasil|Bahia|Salvador|Vitória|
453,|Brasil|Bahia|Salvador|Ondina|
454,|Brasil|Bahia|Salvador|Costa Azul|
455,|Brasil|Bahia|Salvador|Stiep|
456,|Brasil|Bahia|Salvador|Pituba|
457,|Brasil|Bahia|Salvador|Canela|
458,|Brasil|Bahia|Salvador|Pituba|
459,|Brasil|Bahia|Salvador|Patamares|
460,|Brasil|Bahia|Salvador|Pituba|
461,|Brasil|Bahia|Salvador|Vitória|
462,|Brasil|Bahia|Salvador|Itaigara|
463,|Brasil|Bahia|Salvador|Pituba|
464,|Brasil|Bahia|Salvador|Horto Florestal|
465,|Brasil|Bahia|Salvador|Horto Florestal|
466,|Brasil|Bahia|Salvador|Costa Azul|
467,|Brasil|Bahia|Ilhéus|
468,|Brasil|Bahia|Vitória da Conquista|
469,|Brasil|Bahia|
470,|Brasil|Bahia|Salvador|Rio Vermelho|
471,|Brasil|Bahia|Salvador|Barra|
472,|Brasil|Bahia|Salvador|Graça|
473,|Brasil|Bahia|Salvador|Rio Vermelho|
474,|Brasil|Bahia|Vitória da Conquista|
475,|Brasil|Bahia|Ilhéus|
476,|Brasil|Bahia|Salvador|Praia do Flamengo|
477,|Brasil|Bahia|Camaçari|Catu de Abrantes|
478,|Brasil|Bahia|Salvador|Rio Vermelho|
479,|Brasil|Bahia|Salvador|Vitória|
480,|Brasil|Bahia|Salvador|Caminho das Árvores|
481,|Brasil|Bahia|Salvador|Vitória|
482,|Brasil|Bahia|Salvador|Patamares|
483,|Brasil|Bahia|Salvador|Rio Vermelho|
484,|Brasil|Bahia|
485,|Brasil|Bahia|Salvador|Vitória|
486,|Brasil|Bahia|Salvador|Ondina|
487,|Brasil|Bahia|Camaçari|
488,|Brasil|Bahia|Salvador|Caminho das Árvores|
489,|Brasil|Bahia|Salvador|Ondina|
490,|Brasil|Bahia|Salvador|Jardim Apipema|
491,|Brasil|Bahia|Salvador|Canela|
492,|Brasil|Bahia|Salvador|Patamares|
493,|Brasil|Bahia|Salvador|Jardim Apipema|
494,|Brasil|Bahia|Salvador|Boca do Rio|
495,|Brasil|Bahia|Lauro de Freitas|
496,|Brasil|Bahia|Salvador|Stiep|
497,|Brasil|Bahia|Salvador|Pituba|
498,|Brasil|Bahia|Salvador|Rio Vermelho|
499,|Brasil|Bahia|Salvador|Itaigara|
500,|Brasil|Bahia|Salvador|Patamares|
501,|Brasil|Bahia|Salvador|
502,|Brasil|Bahia|Salvador|
503,|Brasil|Bahia|Salvador|Imbuí|
504,|Brasil|Bahia|Salvador|Patamares|
505,|Brasil|Bahia|Salvador|Itaigara|
506,|Brasil|Bahia|Salvador|Ondina|
507,|Brasil|Bahia|Lauro de Freitas|Jockey Clube|
508,|Brasil|Bahia|Salvador|Stiep|
509,|Brasil|Bahia|Salvador|Imbuí|
510,|Brasil|Bahia|Salvador|Itaigara|
511,|Brasil|Bahia|Salvador|
512,|Brasil|Bahia|Vitória da Conquista|
513,|Brasil|Bahia|Ilhéus|
514,|Brasil|Bahia|Salvador|Garcia|
515,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|
516,|Brasil|Bahia|Salvador|Vila Laura|
517,|Brasil|Bahia|Salvador|Vila Laura|
518,|Brasil|Bahia|Salvador|Canela|
519,|Brasil|Bahia|Salvador|Armação|
520,|Brasil|Bahia|Salvador|Ondina|
521,|Brasil|Bahia|Salvador|Jardim Apipema|
522,|Brasil|Bahia|Salvador|Jardim Apipema|
523,|Brasil|Bahia|Salvador|
524,|Brasil|Bahia|Salvador|
525,|Brasil|Bahia|Salvador|Rio Vermelho|
526,|Brasil|Bahia|Salvador|Rio Vermelho|
527,|Brasil|Bahia|Camaçari|
528,|Brasil|Bahia|Salvador|Pituba|
529,|Brasil|Bahia|Salvador|Campo Grande|
530,|Brasil|Bahia|Salvador|Pituba|
531,|Brasil|Bahia|Salvador|Campo Grande|
532,|Brasil|Bahia|Salvador|Pituba|
533,|Brasil|Bahia|Porto Seguro|
534,|Brasil|Bahia|Vitória da Conquista|
535,|Brasil|Bahia|Salvador|
536,|Brasil|Bahia|Lauro de Freitas|Centro|
537,|Brasil|Bahia|Salvador|Alphaville I|
538,|Brasil|Bahia|Salvador|
539,|Brasil|Bahia|Salvador|
540,|Brasil|Bahia|Salvador|Alphaville I|
541,|Brasil|Bahia|Salvador|
542,|Brasil|Bahia|Lauro de Freitas|Centro|
543,|Brasil|Bahia|Salvador|Rio Vermelho|
544,|Brasil|Bahia|Salvador|Patamares|
545,|Brasil|Bahia|Salvador|Rio Vermelho|
546,|Brasil|Bahia|Salvador|Jardim Apipema|
547,|Brasil|Bahia|Salvador|Jardim Apipema|
548,|Brasil|Bahia|Salvador|Ondina|
549,|Brasil|Bahia|Salvador|Ondina|
550,|Brasil|Bahia|Salvador|Caminho das Árvores|
551,|Brasil|Bahia|Salvador|Graça|
552,|Brasil|Bahia|Salvador|Costa Azul|
553,|Brasil|Bahia|Salvador|Costa Azul|
554,|Brasil|Bahia|Salvador|
555,|Brasil|Bahia|Salvador|Graça|
556,|Brasil|Bahia|Ilhéus|
557,|Brasil|Bahia|Ilhéus|
558,|Brasil|Bahia|Salvador|Canela|
559,|Brasil|Bahia|Salvador|Graça|
560,|Brasil|Bahia|Salvador|Ondina|
561,|Brasil|Bahia|Lauro de Freitas|Vilas do Atlântico|
562,|Brasil|Bahia|Salvador|Pituba|
563,|Brasil|Bahia|Salvador|Pituba|
564,|Brasil|Bahia|Salvador|Parque Bela Vista|
565,|Brasil|Bahia|Lauro de Freitas|
566,|Brasil|Bahia|Salvador|Graça|
567,|Brasil|Bahia|Salvador|Armação|
568,|Brasil|Bahia|Salvador|Pituba|
569,|Brasil|Bahia|Salvador|Itaigara|
570,|Brasil|Bahia|Salvador|Rio Vermelho|
571,|Brasil|Bahia|Salvador|Caminho das Árvores|
572,|Brasil|Bahia|Salvador|Itapuã|
